Name,Country,Net_Worth_Billions,Source_of_Wealth,Wealth_Type,Generation_of_Wealth,Age_Became_Billionaire,Education_Level,Company_Founded,Philanthropy_Level
Henry Sy & family,Brazil,68.6,Energy,Self-Made,First Generation,39,Bachelor’s,No,Low
Edward Bass,UK,76.98,Finance,Inherited,Second Generation,37,Bachelor’s,No,Medium
Kunio Busujima & family,UK,22.89,Real Estate,Inherited,Multi-Generational,37,Bachelor’s,No,Medium
"Archie Aldis ""Red"" Emmerson",Brazil,1.92,Finance,Inherited,Multi-Generational,29,Bachelor’s,No,Low
John Fredriksen,USA,39.56,Real Estate,Self-Made,First Generation,25,Bachelor’s,Yes,Low
Marguerite Harbert,Thailand,55.68,Tech,Self-Made,Second Generation,40,Master’s,No,High
Joseph Jamail,India,52.06,Manufacturing,Self-Made,First Generation,36,Bachelor’s,Yes,Medium
John Marriott,UK,61.91,Media,Self-Made,Second Generation,49,Bachelor’s,Yes,Low
Richard Scaife,Thailand,37.88,Media,Self-Made,First Generation,46,Dropout,Yes,Low
Thaksin Shinawatra & family,Japan,83.91,Finance,Inherited,Multi-Generational,38,Bachelor’s,No,Low
Jon Stryker,Brazil,74.28,Media,Inherited,Multi-Generational,33,None,No,Low
Lucio Tan & family,Thailand,74.87,Media,Self-Made,First Generation,49,Bachelor’s,No,Low
Daniel Ziff,India,81.89,Retail,Self-Made,First Generation,30,Master’s,Yes,Medium
Dirk Ziff,India,40.78,Finance,Self-Made,First Generation,42,Master’s,Yes,Low
Robert Ziff,Thailand,80.43,Manufacturing,Inherited,Second Generation,40,Dropout,No,Medium
Mortimer Zuckerman,Japan,43.74,Energy,Inherited,Multi-Generational,22,Bachelor’s,No,High
Francesco Gaetano Caltagirone,Saudi Arabia,37.43,Media,Self-Made,Second Generation,34,PhD,Yes,High
William Cook,USA,33.27,Energy,Self-Made,First Generation,35,Master’s,Yes,High
Jean Coutu,Germany,11.59,Finance,Inherited,Second Generation,18,Dropout,No,Medium
Victor Fung,Switzerland,41.76,Finance,Self-Made,First Generation,49,Dropout,No,High
William Fung,USA,55.4,Energy,Self-Made,First Generation,39,None,No,Medium
Christopher Goldsbury,Thailand,66.27,Finance,Self-Made,Second Generation,31,Bachelor’s,Yes,Medium
Jonathan Harmsworth,USA,1.77,Manufacturing,Self-Made,First Generation,46,Dropout,No,Medium
Sidney Kimmel,Japan,59.08,Media,Self-Made,Second Generation,54,Master’s,Yes,Low
Barry Lam,Germany,75.02,Media,Inherited,Multi-Generational,36,Dropout,No,High
Drayton McLane,India,47.19,Media,Inherited,Multi-Generational,40,Bachelor’s,No,Low
David Murdock,Saudi Arabia,21.91,Media,Self-Made,First Generation,41,PhD,Yes,Low
Leng Chan Quek,Thailand,73.65,Manufacturing,Inherited,Multi-Generational,34,PhD,No,Medium
Patrick Ryan,Brazil,77.82,Manufacturing,Self-Made,Second Generation,26,Dropout,Yes,Low
Walter Scott,USA,47.56,Real Estate,Self-Made,Second Generation,44,Dropout,Yes,Medium
Pat Stryker,Brazil,78.4,Retail,Self-Made,Multi-Generational,46,Bachelor’s,Yes,Low
Ronda Stryker,USA,45.74,Manufacturing,Inherited,Second Generation,31,Bachelor’s,No,Medium
Albert Ueltschi,Thailand,29.2,Finance,Self-Made,First Generation,36,None,No,Low
Charlotte Colket Weber,Brazil,25.7,Manufacturing,Self-Made,First Generation,54,PhD,Yes,Medium
Peter Woo & family,USA,46.74,Manufacturing,Inherited,Multi-Generational,29,Master’s,No,Low
Sheldon Adelson,Japan,75.88,Media,Self-Made,First Generation,50,Master’s,Yes,Medium
Thomas Bailey,Saudi Arabia,99.11,Media,Self-Made,Second Generation,47,Bachelor’s,Yes,Medium
Charles Cadogan & family,Germany,80.83,Energy,Self-Made,Multi-Generational,28,Dropout,Yes,High
Tae-Won Chey,Thailand,66.1,Media,Self-Made,First Generation,42,Bachelor’s,Yes,Low
Belmiro de Azevedo,Saudi Arabia,71.83,Manufacturing,Self-Made,First Generation,53,Bachelor’s,Yes,Medium
Benjamin de Rothschild,India,95.44,Retail,Self-Made,First Generation,30,Bachelor’s,Yes,High
Barry Diller,UK,32.19,Finance,Self-Made,First Generation,46,Dropout,Yes,Low
Mark Dixon,Switzerland,16.43,Manufacturing,Self-Made,First Generation,55,Bachelor’s,No,Medium
L. John Doerr,Brazil,42.96,Manufacturing,Self-Made,First Generation,32,Dropout,Yes,Low
Gabriel Escarrer,Switzerland,98.68,Tech,Inherited,Second Generation,19,Bachelor’s,No,Low
David Filo,Brazil,8.29,Real Estate,Inherited,Multi-Generational,29,Master’s,No,Medium
Albert Frere,UK,12,Finance,Self-Made,First Generation,54,PhD,No,Medium
Tom Gores,Switzerland,68.02,Energy,Inherited,Multi-Generational,28,Bachelor’s,No,Medium
William Randolph Hearst,Germany,90.71,Finance,Inherited,Second Generation,38,Dropout,No,Low
Antonia Johnson,UK,30.31,Real Estate,Self-Made,First Generation,46,Bachelor’s,No,Low
Vinod Khosla,Thailand,58.48,Tech,Self-Made,First Generation,47,Bachelor’s,No,Medium
Alicia Koplowitz,Japan,60.97,Media,Self-Made,Second Generation,32,PhD,Yes,High
Esther Koplowitz,Saudi Arabia,58.08,Manufacturing,Self-Made,Second Generation,38,Bachelor’s,Yes,Medium
Bruce Kovner,Saudi Arabia,40.63,Real Estate,Inherited,Second Generation,31,Dropout,No,Medium
Ananda Krishnan,India,94.75,Finance,Self-Made,First Generation,36,None,Yes,Medium
German Larrea Mota Velasco & family,Switzerland,77.55,Tech,Self-Made,Multi-Generational,39,Bachelor’s,Yes,High
Julian Robertson,Germany,18.09,Tech,Self-Made,Second Generation,33,Bachelor’s,No,Medium
Onsi Sawiris,Switzerland,89.51,Tech,Self-Made,Second Generation,42,PhD,Yes,Medium
Donald Schneider,Saudi Arabia,59.23,Media,Inherited,Second Generation,37,Bachelor’s,No,High
Hope Hill van Beuren,India,12.14,Energy,Self-Made,First Generation,27,Bachelor’s,Yes,Low
Cho Yaw Wee & family,USA,89.87,Finance,Inherited,Second Generation,38,Master’s,No,Medium
Dean White,India,45.95,Tech,Self-Made,Second Generation,35,Master’s,Yes,High
Jerry Yang,India,89.18,Finance,Self-Made,First Generation,30,PhD,Yes,Medium
Charlene de Carvalho-Heineken,USA,96.04,Finance,Self-Made,First Generation,26,None,No,Medium
Heinz Bauer,Thailand,50.82,Retail,Self-Made,Multi-Generational,40,Master’s,Yes,Medium
Anton Schlecker,USA,65.03,Energy,Inherited,Multi-Generational,22,PhD,No,Low
Paul Desmarais,Thailand,18.51,Real Estate,Self-Made,First Generation,47,Bachelor’s,Yes,High
Mohammed Al Amoudi,Brazil,2.4,Tech,Inherited,Multi-Generational,31,Bachelor’s,No,Medium
Herbert Kohler & family,USA,99.41,Tech,Self-Made,Second Generation,41,PhD,Yes,Low
Gustaf Douglas,Brazil,16.35,Manufacturing,Self-Made,First Generation,41,Dropout,No,Medium
Stelios Haji-Ioannou,Germany,71.04,Energy,Self-Made,First Generation,25,Bachelor’s,No,Medium
Albert von Thurn und Taxis,Japan,94.21,Tech,Self-Made,Second Generation,37,Master’s,No,Low
Dhanin Chearavanont,UK,38.42,Real Estate,Inherited,Multi-Generational,38,Bachelor’s,No,Medium
Nicola Bulgari,Japan,19.9,Tech,Inherited,Multi-Generational,22,Master’s,No,Low
Otto Happel,Thailand,67.55,Retail,Self-Made,First Generation,25,Bachelor’s,Yes,High
Peter Lewis,Japan,68.41,Manufacturing,Self-Made,First Generation,54,Dropout,Yes,Medium
Oleg Deripaska,UK,49.1,Tech,Self-Made,First Generation,39,PhD,Yes,Low
E. Stanley Kroenke,Brazil,6.76,Finance,Self-Made,Multi-Generational,43,Bachelor’s,Yes,Low
Joseph Lewis,India,65.16,Retail,Self-Made,Second Generation,35,None,No,High
Alfred Mann,USA,6.07,Real Estate,Self-Made,First Generation,42,Dropout,No,Low
Frederick Smith,Thailand,5.76,Retail,Self-Made,First Generation,30,PhD,Yes,Low
George Ty & family,India,4.24,Tech,Inherited,Second Generation,37,None,No,Medium
Turgay Ciner,Switzerland,27.63,Real Estate,Self-Made,Second Generation,52,None,Yes,High
Robert Holding,UK,32.81,Energy,Inherited,Multi-Generational,27,Bachelor’s,No,Medium
Yongxing Liu,Thailand,15.98,Media,Self-Made,Second Generation,48,Bachelor’s,Yes,Low
Robert Oatley,Germany,41.04,Tech,Self-Made,Second Generation,39,Bachelor’s,Yes,Medium
Lily Safra,Thailand,10.2,Finance,Self-Made,Multi-Generational,44,Dropout,Yes,Medium
Friede Springer,UK,74.41,Energy,Inherited,Multi-Generational,30,Master’s,No,Medium
Tiong Lay Yeoh & family,UK,76.95,Tech,Inherited,Multi-Generational,28,Master’s,No,Low
Jaime Zobel de Ayala & family,Switzerland,30.82,Media,Self-Made,First Generation,34,PhD,Yes,Medium
Susanne Klatten,Brazil,28.01,Manufacturing,Self-Made,First Generation,55,Dropout,Yes,Medium
Stefan Quandt,Brazil,73.71,Media,Self-Made,First Generation,35,Bachelor’s,Yes,Medium
Maria-Elisabeth &#38; Georg Schaeffler,Saudi Arabia,19.08,Retail,Inherited,Multi-Generational,22,None,No,Medium
Mukesh Ambani,Germany,10.62,Tech,Self-Made,Multi-Generational,54,Dropout,Yes,Medium
Viktor Vekselberg,Germany,96.25,Retail,Self-Made,First Generation,41,PhD,Yes,Medium
Clive Calder,Saudi Arabia,82.03,Tech,Self-Made,Second Generation,38,Bachelor’s,Yes,Low
Pallonji Mistry,Switzerland,72.6,Finance,Self-Made,Second Generation,52,Master’s,Yes,Low
Wan-Tsai Tsai & family,India,15.63,Energy,Self-Made,First Generation,44,None,Yes,High
Rosalia Mera,USA,34.16,Retail,Self-Made,Second Generation,51,Master’s,Yes,High
Alec Gores,Japan,86.58,Media,Self-Made,Multi-Generational,52,Dropout,No,High
Daniela Herz,Brazil,61.28,Manufacturing,Self-Made,First Generation,25,Bachelor’s,Yes,High
Lee Seng Wee,Germany,48.7,Manufacturing,Inherited,Multi-Generational,23,Bachelor’s,No,Medium
Willi & Isolde Liebherr & family,Switzerland,19.13,Retail,Self-Made,Second Generation,36,Dropout,Yes,High
Mikhail Prokhorov,UK,45.16,Energy,Self-Made,Multi-Generational,41,PhD,Yes,High
Hans Riegel,Japan,46.64,Real Estate,Self-Made,First Generation,41,Bachelor’s,Yes,Low
Michael Herz,Germany,24.32,Tech,Self-Made,Second Generation,29,Dropout,Yes,Medium
Wolfgang Herz,Saudi Arabia,42.18,Tech,Self-Made,Multi-Generational,38,Bachelor’s,Yes,Medium
Daryl Katz,Germany,98.8,Manufacturing,Self-Made,First Generation,32,Master’s,No,Low
Vladimir Yevtushenkov,Brazil,84.31,Manufacturing,Self-Made,First Generation,44,Bachelor’s,Yes,Medium
Alexey Mordashov,UK,12.76,Tech,Inherited,Multi-Generational,35,Dropout,No,Low
Emanuele (Lino) Saputo,India,70.42,Finance,Inherited,Second Generation,32,Bachelor’s,No,Medium
John Sperling,Brazil,52.33,Energy,Self-Made,First Generation,37,Bachelor’s,Yes,Medium
Peter Sperling,Brazil,24.89,Tech,Self-Made,First Generation,46,Bachelor’s,Yes,Medium
Heinz-Horst Deichmann,Switzerland,7.67,Real Estate,Self-Made,First Generation,34,Master’s,Yes,Medium
Adi Godrej & family,Germany,80.18,Tech,Self-Made,First Generation,42,PhD,Yes,High
Klaus-Michael Kuhne,Japan,90.5,Manufacturing,Inherited,Second Generation,30,Master’s,No,Low
Evgeny (Eugene) Shvidler,Brazil,35.32,Energy,Self-Made,First Generation,37,Bachelor’s,Yes,Medium
Joop van den Ende,Brazil,8.91,Tech,Self-Made,Multi-Generational,46,Master’s,Yes,Low
Chaleo Yoovidhya,India,91.57,Manufacturing,Inherited,Multi-Generational,31,Master’s,No,High
Scott Cook,Thailand,83.58,Manufacturing,Self-Made,First Generation,47,PhD,Yes,Low
John de Mol,Japan,89.17,Media,Inherited,Multi-Generational,32,Dropout,No,Low
Morris Kahn,USA,25.01,Media,Self-Made,Second Generation,51,PhD,Yes,High
Dietrich Mateschitz,Germany,79.47,Energy,Inherited,Second Generation,23,None,No,Low
Oprah Winfrey,UK,94.52,Manufacturing,Self-Made,First Generation,50,Master’s,Yes,Medium
Samuel Wyly,UK,14.48,Manufacturing,Inherited,Multi-Generational,23,Master’s,No,Medium
Karl Albrecht,UK,98.17,Media,Self-Made,First Generation,54,Master’s,Yes,High
Philip &#38; Cristina Green,Switzerland,97.02,Media,Self-Made,First Generation,42,Bachelor’s,No,Medium
Yoshitaka Fukuda,Thailand,81.51,Energy,Inherited,Multi-Generational,33,Bachelor’s,No,High
Vladimir Lisin,India,20.09,Media,Self-Made,Second Generation,51,Master’s,Yes,Medium
David &#38; Frederick Barclay,USA,26.21,Finance,Self-Made,First Generation,43,Master’s,No,Low
Heidi Horten,Switzerland,22.84,Media,Self-Made,First Generation,42,Bachelor’s,Yes,Medium
Kwek Leng Beng & family,USA,31.91,Finance,Inherited,Second Generation,22,Bachelor’s,No,Low
Patrick Wang,UK,52.6,Media,Inherited,Second Generation,36,Dropout,No,High
Sunil Mittal & family,Switzerland,65.27,Retail,Self-Made,First Generation,42,Master’s,Yes,Low
Karl Wlaschek,UK,64.13,Energy,Self-Made,Multi-Generational,39,Bachelor’s,Yes,Medium
Randolph Lerner,Thailand,38.63,Tech,Self-Made,Multi-Generational,41,PhD,Yes,Medium
Lev Leviev,UK,50.45,Finance,Self-Made,Second Generation,44,Dropout,Yes,Low
Augusto & Giorgio Perfetti,Japan,60.63,Retail,Self-Made,Multi-Generational,39,Bachelor’s,Yes,Medium
Leonard Blavatnik,India,24.68,Manufacturing,Self-Made,First Generation,51,Master’s,Yes,High
Arne Wilhelmsen & family,UK,28.18,Real Estate,Self-Made,Second Generation,44,Bachelor’s,No,Low
Michael Ying,USA,23.31,Finance,Self-Made,First Generation,28,Bachelor’s,Yes,Medium
Shi Wen Long,UK,15.23,Finance,Self-Made,First Generation,44,Bachelor’s,Yes,Medium
Isak Andic,Germany,4.78,Media,Self-Made,First Generation,51,Bachelor’s,Yes,High
Nancy Lerner,Saudi Arabia,33.28,Real Estate,Self-Made,Second Generation,39,Master’s,Yes,Medium
Norma Lerner,Thailand,92.67,Retail,Self-Made,Second Generation,36,Master’s,Yes,Medium
Carl Lindner Jr & family,Brazil,35.99,Real Estate,Self-Made,First Generation,43,Bachelor’s,Yes,High
Gerald J. Ford,Thailand,89.76,Finance,Self-Made,First Generation,43,Dropout,No,Low
Edward Lampert,Japan,37.09,Energy,Self-Made,First Generation,32,PhD,Yes,Medium
John Caudwell,India,74.17,Media,Inherited,Second Generation,19,None,No,High
German Khan,Japan,64.88,Manufacturing,Self-Made,Second Generation,37,PhD,No,Low
Fredrik Lundberg,India,10.16,Energy,Inherited,Multi-Generational,27,Dropout,No,Low
Julio Mario Santo Domingo,USA,80.58,Tech,Inherited,Second Generation,33,PhD,No,Medium
Patrick Soon-Shiong,Brazil,46.86,Tech,Self-Made,Second Generation,29,Bachelor’s,No,High
Sylvia Stroher,Thailand,68.64,Finance,Self-Made,Multi-Generational,50,Bachelor’s,Yes,High
Leonid Fedun,Brazil,1.95,Media,Self-Made,First Generation,49,Master’s,No,High
Min Kao,USA,58.01,Tech,Self-Made,Second Generation,51,Master’s,No,Medium
Harry Triguboff,India,36,Manufacturing,Self-Made,First Generation,47,Bachelor’s,Yes,Medium
Nikolai Tsvetkov,Brazil,9.77,Energy,Inherited,Second Generation,22,Bachelor’s,No,Medium
Margaret Whitman,Germany,55.82,Manufacturing,Self-Made,Multi-Generational,28,Bachelor’s,Yes,High
Yung Fa Chang,Saudi Arabia,26.94,Manufacturing,Inherited,Multi-Generational,20,Bachelor’s,No,Medium
Phoebe Hearst Cooke,UK,69.5,Real Estate,Self-Made,First Generation,30,Master’s,No,Low
Edward DeBartolo Jr,Germany,15.92,Energy,Self-Made,First Generation,47,Dropout,Yes,High
Austin Hearst,USA,10.13,Manufacturing,Inherited,Second Generation,23,PhD,No,High
David Hearst,USA,56.05,Media,Self-Made,First Generation,37,PhD,Yes,Low
George Hearst,Saudi Arabia,12.58,Manufacturing,Self-Made,First Generation,43,Bachelor’s,No,Medium
Ingeburg Herz,Saudi Arabia,32.77,Manufacturing,Inherited,Second Generation,21,Master’s,No,Low
Robert Friedland,UK,88.22,Media,Self-Made,First Generation,34,None,Yes,Medium
John Gandel,Germany,91.22,Tech,Self-Made,Second Generation,47,Master’s,Yes,Medium
Malcolm Glazer & family,Japan,79.53,Real Estate,Self-Made,First Generation,52,Bachelor’s,No,Low
David Green,India,3.27,Finance,Self-Made,Second Generation,43,Bachelor’s,No,Medium
Stephen Jarislowsky,Brazil,89.54,Real Estate,Inherited,Multi-Generational,19,Dropout,No,Medium
Guy Laliberte,Thailand,75.36,Finance,Self-Made,Multi-Generational,39,Bachelor’s,No,Low
Jorge Paulo Lemann,Saudi Arabia,12.65,Tech,Inherited,Multi-Generational,38,Master’s,No,Low
Andrey Melnichenko,USA,32.23,Media,Inherited,Second Generation,24,Dropout,No,Medium
Arnon Milchan,UK,86.11,Finance,Self-Made,First Generation,39,Bachelor’s,Yes,Medium
Monika Schoeller,UK,91.49,Energy,Inherited,Multi-Generational,30,PhD,No,Low
Stefan von Holtzbrinck,India,98.69,Finance,Self-Made,First Generation,25,Master’s,Yes,Low
Stephen Wynn,USA,78.35,Manufacturing,Self-Made,Multi-Generational,33,PhD,Yes,Low
Larry Yung,India,22.4,Finance,Inherited,Multi-Generational,28,Dropout,No,Medium
Alexander Abramov,Brazil,29.25,Media,Self-Made,First Generation,31,PhD,Yes,Low
Anil Agarwal,Thailand,60.38,Tech,Inherited,Multi-Generational,23,Bachelor’s,No,High
John Anderson,Thailand,91.42,Energy,Self-Made,Second Generation,42,None,Yes,Low
George Argyros,Germany,21.95,Energy,Self-Made,First Generation,38,Dropout,Yes,High
Neil Bluhm,Japan,86.33,Energy,Inherited,Multi-Generational,33,Master’s,No,High
Sergey Brin,Japan,71.33,Finance,Self-Made,First Generation,45,Bachelor’s,Yes,Medium
Gary Burrell,USA,26.55,Finance,Self-Made,First Generation,41,Bachelor’s,Yes,Medium
Steven Cohen,Japan,43.64,Real Estate,Inherited,Multi-Generational,21,Bachelor’s,No,Medium
Bulent Eczacibasi,Germany,13.9,Real Estate,Self-Made,First Generation,36,Dropout,Yes,Medium
Jerry Jones,USA,13.06,Retail,Self-Made,First Generation,28,Bachelor’s,Yes,Low
Larry Page,Germany,37.62,Finance,Self-Made,Second Generation,47,Bachelor’s,Yes,Low
Liselott Persson,UK,54.36,Tech,Self-Made,First Generation,25,Dropout,Yes,Low
Stefano Pessina,Japan,61.15,Real Estate,Inherited,Second Generation,28,Bachelor’s,No,Medium
Sergei Popov,Brazil,38.53,Retail,Inherited,Second Generation,30,Master’s,No,Low
J.K. Rowling,Japan,75.55,Energy,Inherited,Second Generation,33,Master’s,No,High
Alfred Taubman,USA,20.64,Energy,Self-Made,Second Generation,35,Bachelor’s,Yes,Medium
Olav Thon,UK,79,Tech,Self-Made,Multi-Generational,52,Bachelor’s,Yes,Medium
Andreas Strungmann,India,16.07,Energy,Self-Made,First Generation,41,Bachelor’s,Yes,High
Thomas Strungmann,India,69.36,Media,Inherited,Multi-Generational,24,Bachelor’s,No,Medium
Viktor Rashnikov,Japan,37.4,Energy,Inherited,Multi-Generational,39,PhD,No,Low
Charoen Sirivadhanabhakdi,Saudi Arabia,26.61,Energy,Inherited,Second Generation,31,PhD,No,High
Eric Schmidt,USA,54.82,Tech,Self-Made,Second Generation,50,Bachelor’s,Yes,Medium
Boris Ivanishvili,USA,24.81,Energy,Self-Made,First Generation,33,Bachelor’s,Yes,Medium
James Simons,Switzerland,4.36,Media,Self-Made,Second Generation,54,Master’s,Yes,Medium
Rinat Akhmetov,Germany,31.18,Finance,Self-Made,First Generation,34,PhD,Yes,Medium
Hong Piow Teh,Brazil,14.68,Tech,Inherited,Multi-Generational,40,PhD,No,Low
Frits Goldschmeding,UK,13.91,Retail,Self-Made,First Generation,25,Bachelor’s,Yes,Medium
Vincent Bollore,Germany,65.19,Real Estate,Self-Made,First Generation,43,PhD,No,Medium
Stef Wertheimer & family,India,24.19,Media,Self-Made,First Generation,31,Master’s,Yes,Medium
Matthew Bucksbaum & family,Japan,61,Media,Self-Made,Multi-Generational,52,Bachelor’s,No,Low
R. Budi Hartono,Japan,96.63,Tech,Self-Made,Second Generation,34,PhD,Yes,Medium
Wilma Tisch,Germany,74.03,Finance,Self-Made,First Generation,49,None,Yes,Medium
Alisher Usmanov,Germany,70.19,Energy,Self-Made,Second Generation,53,PhD,Yes,Low
Roger Penske,Thailand,77.61,Energy,Inherited,Second Generation,38,Bachelor’s,No,Low
John Whittaker,Japan,81.16,Media,Self-Made,First Generation,40,Master’s,Yes,Medium
Manuel Jove,USA,91.91,Real Estate,Inherited,Multi-Generational,26,PhD,No,High
Alexei Kuzmichev,Switzerland,10.49,Tech,Self-Made,First Generation,53,Dropout,Yes,High
Alexander Lebedev,Switzerland,96.02,Media,Inherited,Multi-Generational,20,None,No,High
Iskander Makhmudov,Switzerland,73.04,Tech,Self-Made,First Generation,27,Bachelor’s,Yes,Low
Penny Pritzker,Germany,96.82,Manufacturing,Inherited,Second Generation,19,Dropout,No,Medium
Peter Buck,Brazil,18.07,Energy,Self-Made,Multi-Generational,31,None,Yes,Medium
