Name,"Education_Status (Educated, Dropout, Self-Taught)","Highest_Degree (Bachelor’s, Master’s, PhD, None)",Graduation_Year,University_Name,Field_of_Study,Startup_Founded (Yes/No),Industry,Age_First_Million
William Randolph Hearst,Self-Taught,None,,No Formal University,None,No,Finance,27
Antonia Johnson,Educated,Master’s,1991.0,MIT,Law,Yes,Tech,34
Vinod Khosla,Educated,PhD,1973.0,University of Tokyo,Business,Yes,Tech,31
Alicia Koplowitz,Educated,PhD,2001.0,ETH Zurich,Law,No,Manufacturing,22
Esther Koplowitz,Self-Taught,None,,No Formal University,None,No,Finance,30
Bruce Kovner,Dropout,None,,No Formal University,None,No,Retail,23
Ananda Krishnan,Educated,Master’s,1972.0,MIT,Computer Science,No,Tech,34
German Larrea Mota Velasco & family,Educated,Master’s,1977.0,No Formal University,Computer Science,Yes,Finance,25
Julian Robertson,Educated,Master’s,1981.0,University of Tokyo,Business,Yes,Finance,41
Onsi Sawiris,Educated,Master’s,1962.0,Harvard University,Engineering,No,Media,37
Donald Schneider,Educated,Bachelor’s,1992.0,Stanford University,Business,No,Finance,34
Hope Hill van Beuren,Self-Taught,None,,No Formal University,None,No,Manufacturing,32
Cho Yaw Wee & family,Educated,Master’s,1991.0,ETH Zurich,Computer Science,No,Real Estate,22
Dean White,Educated,Master’s,1986.0,University of Tokyo,Business,Yes,Manufacturing,37
Jerry Yang,Educated,Master’s,2009.0,University of Tokyo,Computer Science,Yes,Telecom,23
Charlene de Carvalho-Heineken,Educated,Bachelor’s,2000.0,ETH Zurich,Computer Science,No,Finance,43
Heinz Bauer,Educated,Master’s,2004.0,Harvard University,Engineering,Yes,Real Estate,32
Anton Schlecker,Educated,Bachelor’s,1973.0,University of Oxford,Computer Science,No,Media,45
Paul Desmarais,Dropout,None,,No Formal University,None,Yes,Manufacturing,28
Mohammed Al Amoudi,Educated,PhD,1990.0,University of Tokyo,Law,No,Finance,36
Herbert Kohler & family,Self-Taught,None,,No Formal University,None,No,Manufacturing,33
Gustaf Douglas,Dropout,None,,No Formal University,None,No,Manufacturing,37
Stelios Haji-Ioannou,Educated,Bachelor’s,1995.0,MIT,Engineering,No,Media,31
Albert von Thurn und Taxis,Dropout,None,,No Formal University,None,No,Retail,37
Dhanin Chearavanont,Educated,PhD,2010.0,ETH Zurich,Business,No,Tech,40
Nicola Bulgari,Dropout,None,,No Formal University,None,No,Real Estate,33
Otto Happel,Self-Taught,None,,No Formal University,None,Yes,Retail,23
Peter Lewis,Educated,Master’s,1982.0,University of Oxford,History,No,Telecom,37
Oleg Deripaska,Educated,PhD,1977.0,University of Tokyo,History,No,Finance,25
E. Stanley Kroenke,Dropout,None,,No Formal University,None,Yes,Finance,23
Joseph Lewis,Dropout,None,,No Formal University,None,Yes,Telecom,29
Alfred Mann,Educated,Bachelor’s,2005.0,University of Oxford,Economics,Yes,Tech,39
Frederick Smith,Self-Taught,None,,No Formal University,None,Yes,Real Estate,42
George Ty & family,Self-Taught,None,,No Formal University,None,No,Real Estate,42
Turgay Ciner,Educated,PhD,1980.0,MIT,History,Yes,Media,24
Robert Holding,Dropout,None,,No Formal University,None,Yes,Manufacturing,45
Yongxing Liu,Dropout,None,,No Formal University,None,Yes,Finance,35
Robert Oatley,Self-Taught,None,,No Formal University,None,Yes,Tech,34
Lily Safra,Dropout,None,,No Formal University,None,Yes,Telecom,31
Friede Springer,Self-Taught,None,,No Formal University,None,Yes,Retail,40
Tiong Lay Yeoh & family,Dropout,None,,No Formal University,None,No,Retail,36
Jaime Zobel de Ayala & family,Self-Taught,None,,No Formal University,None,No,Finance,38
Susanne Klatten,Educated,Bachelor’s,1967.0,MIT,Engineering,No,Telecom,30
Stefan Quandt,Dropout,None,,No Formal University,None,Yes,Telecom,32
Maria-Elisabeth &#38; Georg Schaeffler,Dropout,None,,No Formal University,None,Yes,Finance,41
Mukesh Ambani,Self-Taught,None,,No Formal University,None,No,Media,35
Viktor Vekselberg,Educated,Bachelor’s,2002.0,Harvard University,Engineering,Yes,Real Estate,32
Clive Calder,Self-Taught,None,,No Formal University,None,Yes,Retail,34
Pallonji Mistry,Educated,Master’s,1981.0,MIT,Computer Science,Yes,Retail,42
Wan-Tsai Tsai & family,Educated,Bachelor’s,2002.0,Harvard University,Law,No,Finance,34
Rosalia Mera,Dropout,None,,No Formal University,None,No,Telecom,25
Alec Gores,Dropout,None,,No Formal University,None,No,Retail,41
Daniela Herz,Educated,PhD,1990.0,Stanford University,Law,No,Real Estate,44
Lee Seng Wee,Educated,Bachelor’s,1994.0,No Formal University,History,Yes,Media,29
Willi & Isolde Liebherr & family,Dropout,None,,No Formal University,None,Yes,Manufacturing,36
Mikhail Prokhorov,Educated,Bachelor’s,1996.0,Harvard University,Economics,Yes,Manufacturing,39
Hans Riegel,Educated,Bachelor’s,1993.0,University of Oxford,Economics,Yes,Telecom,40
Michael Herz,Educated,PhD,1988.0,No Formal University,Economics,No,Finance,38
Wolfgang Herz,Educated,Master’s,1995.0,University of Oxford,History,No,Telecom,22
Daryl Katz,Educated,PhD,2007.0,Stanford University,Computer Science,Yes,Tech,35
Vladimir Yevtushenkov,Educated,Bachelor’s,1963.0,Harvard University,Law,Yes,Retail,35
Alexey Mordashov,Educated,Bachelor’s,2001.0,ETH Zurich,History,No,Retail,34
Emanuele (Lino) Saputo,Educated,PhD,1984.0,University of Oxford,Economics,Yes,Telecom,33
John Sperling,Educated,PhD,1985.0,University of Tokyo,Engineering,Yes,Media,22
Peter Sperling,Dropout,None,,No Formal University,None,No,Real Estate,43
Heinz-Horst Deichmann,Dropout,None,,No Formal University,None,No,Manufacturing,34
Adi Godrej & family,Self-Taught,None,,No Formal University,None,Yes,Real Estate,33
Klaus-Michael Kuhne,Educated,Bachelor’s,2006.0,No Formal University,Economics,Yes,Media,43
Evgeny (Eugene) Shvidler,Educated,Master’s,1961.0,Stanford University,Engineering,Yes,Tech,41
Joop van den Ende,Educated,Master’s,2005.0,No Formal University,Economics,Yes,Telecom,23
Chaleo Yoovidhya,Educated,Bachelor’s,1973.0,No Formal University,None,Yes,Finance,38
Scott Cook,Self-Taught,None,,No Formal University,None,Yes,Media,45
John de Mol,Educated,Master’s,2009.0,ETH Zurich,None,No,Finance,31
Morris Kahn,Self-Taught,None,,No Formal University,None,Yes,Real Estate,31
Dietrich Mateschitz,Educated,Master’s,1997.0,ETH Zurich,Engineering,No,Manufacturing,37
Oprah Winfrey,Educated,Bachelor’s,2001.0,ETH Zurich,Law,No,Telecom,35
Samuel Wyly,Educated,Bachelor’s,1971.0,No Formal University,Computer Science,No,Finance,29
Karl Albrecht,Educated,Master’s,2011.0,University of Oxford,Economics,No,Real Estate,39
Philip &#38; Cristina Green,Educated,Bachelor’s,1976.0,Stanford University,Business,Yes,Real Estate,33
Yoshitaka Fukuda,Educated,Master’s,1972.0,Harvard University,Business,No,Telecom,41
Vladimir Lisin,Dropout,None,,No Formal University,None,Yes,Finance,40
David &#38; Frederick Barclay,Dropout,None,,No Formal University,None,Yes,Real Estate,28
Heidi Horten,Self-Taught,None,,No Formal University,None,No,Retail,22
Kwek Leng Beng & family,Educated,Bachelor’s,2007.0,Harvard University,History,No,Finance,44
Patrick Wang,Dropout,None,,No Formal University,None,Yes,Real Estate,29
Sunil Mittal & family,Educated,Master’s,1984.0,University of Oxford,Computer Science,No,Retail,30
Karl Wlaschek,Educated,PhD,1989.0,Harvard University,None,No,Media,32
Randolph Lerner,Self-Taught,None,,No Formal University,None,No,Retail,35
Lev Leviev,Educated,PhD,2007.0,Stanford University,Economics,No,Manufacturing,40
Augusto & Giorgio Perfetti,Educated,Bachelor’s,1969.0,Stanford University,Business,Yes,Real Estate,40
Leonard Blavatnik,Self-Taught,None,,No Formal University,None,No,Manufacturing,42
Arne Wilhelmsen & family,Self-Taught,None,,No Formal University,None,No,Retail,37
Michael Ying,Self-Taught,None,,No Formal University,None,No,Real Estate,27
Shi Wen Long,Dropout,None,,No Formal University,None,No,Finance,26
Isak Andic,Dropout,None,,No Formal University,None,No,Finance,39
Nancy Lerner,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,23
Norma Lerner,Self-Taught,None,,No Formal University,None,Yes,Media,43
Carl Lindner Jr & family,Educated,Bachelor’s,1968.0,No Formal University,History,Yes,Tech,44
Gerald J. Ford,Educated,Bachelor’s,1989.0,MIT,Economics,No,Telecom,37
Edward Lampert,Educated,Master’s,1986.0,Harvard University,Economics,No,Manufacturing,31
John Caudwell,Educated,PhD,2003.0,University of Oxford,None,Yes,Tech,25
German Khan,Educated,Bachelor’s,1999.0,University of Tokyo,Business,No,Retail,34
Fredrik Lundberg,Educated,PhD,1989.0,University of Tokyo,Engineering,Yes,Retail,43
Julio Mario Santo Domingo,Self-Taught,None,,No Formal University,None,Yes,Telecom,42
Patrick Soon-Shiong,Dropout,None,,No Formal University,None,Yes,Real Estate,34
Sylvia Stroher,Educated,Bachelor’s,2000.0,Harvard University,History,Yes,Tech,37
Leonid Fedun,Self-Taught,None,,No Formal University,None,No,Manufacturing,25
Min Kao,Self-Taught,None,,No Formal University,None,Yes,Finance,28
Harry Triguboff,Self-Taught,None,,No Formal University,None,No,Retail,23
Nikolai Tsvetkov,Self-Taught,None,,No Formal University,None,No,Manufacturing,40
Margaret Whitman,Dropout,None,,No Formal University,None,Yes,Media,32
Yung Fa Chang,Educated,Bachelor’s,1969.0,No Formal University,None,No,Tech,31
Phoebe Hearst Cooke,Educated,Bachelor’s,2013.0,No Formal University,Law,No,Real Estate,45
Edward DeBartolo Jr,Educated,PhD,2006.0,Harvard University,Computer Science,No,Tech,25
Austin Hearst,Educated,PhD,1981.0,University of Tokyo,None,No,Media,32
David Hearst,Educated,Bachelor’s,1988.0,University of Oxford,Engineering,No,Manufacturing,34
George Hearst,Educated,Master’s,2002.0,University of Oxford,Economics,No,Media,29
Ingeburg Herz,Dropout,None,,No Formal University,None,Yes,Retail,26
Robert Friedland,Educated,Master’s,1969.0,ETH Zurich,Law,No,Retail,25
John Gandel,Educated,PhD,1988.0,MIT,None,No,Tech,26
Malcolm Glazer & family,Educated,Bachelor’s,1995.0,University of Tokyo,Computer Science,No,Tech,22
David Green,Educated,Master’s,1998.0,University of Tokyo,None,No,Media,34
Stephen Jarislowsky,Educated,Bachelor’s,2009.0,Harvard University,History,Yes,Manufacturing,38
Guy Laliberte,Educated,Bachelor’s,1968.0,MIT,Business,No,Real Estate,26
Jorge Paulo Lemann,Educated,Bachelor’s,1986.0,MIT,Law,Yes,Retail,30
Andrey Melnichenko,Self-Taught,None,,No Formal University,None,No,Manufacturing,41
Arnon Milchan,Educated,Bachelor’s,1979.0,Harvard University,Law,No,Media,41
Monika Schoeller,Educated,PhD,1988.0,MIT,Law,Yes,Retail,32
Stefan von Holtzbrinck,Dropout,None,,No Formal University,None,Yes,Real Estate,32
Stephen Wynn,Educated,Bachelor’s,1980.0,MIT,History,No,Manufacturing,29
Larry Yung,Educated,Bachelor’s,2010.0,University of Oxford,Business,Yes,Manufacturing,28
Alexander Abramov,Educated,Master’s,2003.0,No Formal University,Computer Science,Yes,Telecom,36
Anil Agarwal,Self-Taught,None,,No Formal University,None,Yes,Real Estate,31
John Anderson,Self-Taught,None,,No Formal University,None,Yes,Media,35
George Argyros,Dropout,None,,No Formal University,None,Yes,Telecom,31
Neil Bluhm,Educated,Master’s,2005.0,University of Oxford,None,No,Tech,36
Sergey Brin,Self-Taught,None,,No Formal University,None,No,Manufacturing,34
Gary Burrell,Educated,PhD,2015.0,ETH Zurich,Law,Yes,Media,33
Steven Cohen,Dropout,None,,No Formal University,None,Yes,Tech,29
Bulent Eczacibasi,Dropout,None,,No Formal University,None,No,Finance,42
Jerry Jones,Dropout,None,,No Formal University,None,No,Media,32
Larry Page,Self-Taught,None,,No Formal University,None,No,Tech,22
Liselott Persson,Educated,Bachelor’s,2007.0,University of Tokyo,Computer Science,Yes,Real Estate,33
Stefano Pessina,Educated,Master’s,1997.0,ETH Zurich,Computer Science,Yes,Retail,22
Sergei Popov,Educated,Bachelor’s,1965.0,Harvard University,None,Yes,Retail,31
J.K. Rowling,Educated,Master’s,1993.0,University of Oxford,Business,No,Tech,36
Alfred Taubman,Dropout,None,,No Formal University,None,No,Retail,24
Olav Thon,Educated,PhD,1967.0,Harvard University,None,No,Telecom,25
Andreas Strungmann,Dropout,None,,No Formal University,None,Yes,Telecom,29
Thomas Strungmann,Educated,Master’s,1981.0,University of Tokyo,Law,No,Finance,34
Viktor Rashnikov,Dropout,None,,No Formal University,None,Yes,Telecom,43
Charoen Sirivadhanabhakdi,Educated,Bachelor’s,1999.0,Stanford University,Law,No,Real Estate,22
Eric Schmidt,Dropout,None,,No Formal University,None,Yes,Retail,44
Boris Ivanishvili,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,25
James Simons,Dropout,None,,No Formal University,None,Yes,Retail,32
Rinat Akhmetov,Educated,Bachelor’s,2002.0,No Formal University,Law,No,Manufacturing,34
Hong Piow Teh,Dropout,None,,No Formal University,None,Yes,Retail,33
Frits Goldschmeding,Self-Taught,None,,No Formal University,None,Yes,Media,43
Vincent Bollore,Dropout,None,,No Formal University,None,No,Manufacturing,40
Stef Wertheimer & family,Educated,Bachelor’s,1967.0,Stanford University,Business,Yes,Finance,33
Matthew Bucksbaum & family,Dropout,None,,No Formal University,None,No,Real Estate,41
R. Budi Hartono,Educated,Bachelor’s,1971.0,University of Oxford,History,Yes,Manufacturing,27
Wilma Tisch,Educated,Bachelor’s,1980.0,No Formal University,Law,Yes,Media,33
Alisher Usmanov,Self-Taught,None,,No Formal University,None,No,Finance,28
Roger Penske,Self-Taught,None,,No Formal University,None,No,Real Estate,43
John Whittaker,Educated,Master’s,1988.0,University of Oxford,Engineering,Yes,Manufacturing,22
Manuel Jove,Dropout,None,,No Formal University,None,Yes,Retail,23
Alexei Kuzmichev,Educated,Master’s,1970.0,No Formal University,Law,No,Manufacturing,38
Alexander Lebedev,Educated,Bachelor’s,2009.0,University of Tokyo,None,No,Manufacturing,23
Iskander Makhmudov,Dropout,None,,No Formal University,None,No,Manufacturing,28
Penny Pritzker,Self-Taught,None,,No Formal University,None,Yes,Telecom,42
Peter Buck,Dropout,None,,No Formal University,None,No,Media,23
Mong-Koo Chung,Educated,Bachelor’s,2012.0,Harvard University,Law,Yes,Media,29
Fred DeLuca,Educated,Master’s,2004.0,MIT,None,No,Finance,41
Ray Dolby,Educated,Bachelor’s,1973.0,No Formal University,Economics,No,Manufacturing,30
Vladimir Iorikh,Educated,Bachelor’s,2005.0,MIT,Business,No,Media,38
H. Fisk Johnson,Self-Taught,None,,No Formal University,None,Yes,Finance,35
Imogene Powers Johnson,Self-Taught,None,,No Formal University,None,No,Media,42
S. Curtis Johnson,Educated,PhD,1975.0,Stanford University,History,No,Media,29
Helen Johnson-Leipold,Dropout,None,,No Formal University,None,No,Real Estate,26
Winnie Johnson-Marquart,Educated,Bachelor’s,1986.0,University of Oxford,Law,Yes,Telecom,24
Anthony Pritzker,Educated,Master’s,2004.0,MIT,Law,No,Retail,40
Daniel Pritzker,Educated,Master’s,2006.0,Harvard University,History,No,Telecom,43
James Pritzker,Dropout,None,,No Formal University,None,Yes,Media,39
Jay Robert (J.B.) Pritzker,Educated,PhD,2012.0,Stanford University,Law,No,Retail,31
Jean (Gigi) Pritzker,Educated,Master’s,1996.0,No Formal University,Law,No,Telecom,23
John Pritzker,Educated,Master’s,2013.0,University of Oxford,Economics,Yes,Media,27
Karen Pritzker,Educated,Bachelor’s,1987.0,Stanford University,History,Yes,Telecom,31
Linda Pritzker,Educated,PhD,1977.0,Harvard University,History,No,Retail,24
Dilip Shanghvi,Educated,PhD,1970.0,Harvard University,Law,No,Telecom,44
Igor Zyuzin,Dropout,None,,No Formal University,None,No,Telecom,24
Elena Baturina,Dropout,None,,No Formal University,None,Yes,Finance,37
Vincent Lo,Educated,Master’s,1993.0,ETH Zurich,Law,Yes,Tech,44
Victor Pinchuk,Educated,Bachelor’s,2015.0,University of Oxford,History,Yes,Real Estate,24
Phillip Ruffin,Educated,Bachelor’s,2011.0,Harvard University,Economics,No,Retail,31
Peter Unger,Educated,Master’s,2008.0,No Formal University,Engineering,Yes,Tech,38
William Connor,Educated,Master’s,1970.0,University of Oxford,Business,Yes,Telecom,45
Saad Hariri,Educated,Bachelor’s,2003.0,University of Oxford,None,Yes,Tech,25
Thomas Lee,Educated,Bachelor’s,2006.0,University of Oxford,Business,No,Retail,26
Marcel Herrmann Telles,Educated,Master’s,1975.0,University of Tokyo,Computer Science,No,Media,44
Martin Viessmann,Educated,PhD,1979.0,Stanford University,Computer Science,Yes,Telecom,34
John Brown,Educated,Bachelor’s,2010.0,Stanford University,Law,No,Tech,29
David Gottesman,Educated,Master’s,1993.0,Harvard University,Business,No,Finance,34
Chang-Woo Han & family,Self-Taught,None,,No Formal University,None,No,Retail,39
George Joseph,Dropout,None,,No Formal University,None,No,Media,24
Nelson Peltz,Educated,Bachelor’s,1976.0,Stanford University,Economics,Yes,Media,34
Michael Price,Educated,Master’s,1992.0,No Formal University,Law,No,Telecom,34
Nicholas Pritzker,Educated,Master’s,1999.0,Stanford University,Business,Yes,Retail,24
Edward Roski,Educated,Bachelor’s,2011.0,Stanford University,Computer Science,No,Real Estate,40
Sevket Sabanci,Dropout,None,,No Formal University,None,Yes,Retail,44
Alexander Spanos & family,Educated,PhD,1975.0,Harvard University,Engineering,Yes,Real Estate,25
Edmund Ansin,Educated,Master’s,1979.0,ETH Zurich,History,Yes,Tech,22
Nadhmi Auchi,Dropout,None,,No Formal University,None,Yes,Finance,37
Amar Bose,Self-Taught,None,,No Formal University,None,No,Finance,33
Thomas Bruch,Educated,Master’s,1977.0,ETH Zurich,Economics,Yes,Retail,35
Patokh Chodiev,Educated,Bachelor’s,2005.0,University of Tokyo,History,Yes,Real Estate,36
Aydin Dogan,Educated,Bachelor’s,2014.0,University of Tokyo,Engineering,No,Finance,30
John Edson,Dropout,None,,No Formal University,None,Yes,Finance,45
William Gross,Educated,Bachelor’s,2015.0,Harvard University,Engineering,Yes,Real Estate,33
William Hilton,Educated,Bachelor’s,2014.0,Harvard University,Computer Science,No,Finance,32
Alijan Ibragimov,Educated,PhD,1980.0,MIT,None,Yes,Manufacturing,33
Jeremy Jacobs Sr,Educated,Master’s,1963.0,Stanford University,Engineering,Yes,Real Estate,24
Paul Tudor Jones,Self-Taught,None,,No Formal University,None,No,Media,31
Nasser Khalili,Educated,Master’s,1960.0,MIT,Engineering,No,Manufacturing,31
Jan Kulczyk,Dropout,None,,No Formal University,None,Yes,Real Estate,33
Alexander Machkevich,Educated,Bachelor’s,2009.0,No Formal University,Engineering,Yes,Finance,22
Alain Merieux & family,Self-Taught,None,,No Formal University,None,Yes,Finance,39
Michael Milken,Educated,PhD,1960.0,MIT,Economics,No,Media,45
Axel Oberwelland,Dropout,None,,No Formal University,None,Yes,Finance,38
